,subject_num,posture,cursor_type,repetition,target_num,wide,target_size,extra_times_over_target,error
1566,1,WALK,EYE,8,6,SMALL,3.5,2,
1567,1,WALK,EYE,8,6,SMALL,4.0,2,
1568,1,WALK,EYE,8,7,SMALL,0.5,10,
1569,1,WALK,EYE,8,7,SMALL,1.0,18,
1570,1,WALK,EYE,8,7,SMALL,1.5,13,
1571,1,WALK,EYE,8,7,SMALL,2.0,10,
1572,1,WALK,EYE,8,7,SMALL,2.5,5,
1573,1,WALK,EYE,8,7,SMALL,3.0,3,
1574,1,WALK,EYE,8,7,SMALL,3.5,2,
1575,1,WALK,EYE,8,7,SMALL,4.0,2,
1576,1,WALK,EYE,8,8,SMALL,0.5,11,
1577,1,WALK,EYE,8,8,SMALL,1.0,11,
1578,1,WALK,EYE,8,8,SMALL,1.5,12,
1579,1,WALK,EYE,8,8,SMALL,2.0,7,
1580,1,WALK,EYE,8,8,SMALL,2.5,4,
1581,1,WALK,EYE,8,8,SMALL,3.0,4,
1582,1,WALK,EYE,8,8,SMALL,3.5,3,
1583,1,WALK,EYE,8,8,SMALL,4.0,1,
1584,1,STAND,EYE,9,0,LARGE,0.5,3,
1585,1,STAND,EYE,9,0,LARGE,1.0,2,
1586,1,STAND,EYE,9,0,LARGE,1.5,2,
1587,1,STAND,EYE,9,0,LARGE,2.0,2,
1588,1,STAND,EYE,9,0,LARGE,2.5,2,
1589,1,STAND,EYE,9,0,LARGE,3.0,2,
1590,1,STAND,EYE,9,0,LARGE,3.5,2,
1591,1,STAND,EYE,9,0,LARGE,4.0,2,
1592,1,STAND,EYE,9,1,LARGE,0.5,1,
1593,1,STAND,EYE,9,1,LARGE,1.0,2,
1594,1,STAND,EYE,9,1,LARGE,1.5,1,
1595,1,STAND,EYE,9,1,LARGE,2.0,2,
1596,1,STAND,EYE,9,1,LARGE,2.5,2,
1597,1,STAND,EYE,9,1,LARGE,3.0,2,
1598,1,STAND,EYE,9,1,LARGE,3.5,2,
1599,1,STAND,EYE,9,1,LARGE,4.0,2,
1600,1,STAND,EYE,9,2,LARGE,0.5,2,
1601,1,STAND,EYE,9,2,LARGE,1.0,2,
1602,1,STAND,EYE,9,2,LARGE,1.5,1,
1603,1,STAND,EYE,9,2,LARGE,2.0,3,
1604,1,STAND,EYE,9,2,LARGE,2.5,1,
1605,1,STAND,EYE,9,2,LARGE,3.0,1,
1606,1,STAND,EYE,9,2,LARGE,3.5,1,
1607,1,STAND,EYE,9,2,LARGE,4.0,1,
1608,1,STAND,EYE,9,3,LARGE,0.5,2,
1609,1,STAND,EYE,9,3,LARGE,1.0,1,
1610,1,STAND,EYE,9,3,LARGE,1.5,1,
1611,1,STAND,EYE,9,3,LARGE,2.0,1,
1612,1,STAND,EYE,9,3,LARGE,2.5,1,
1613,1,STAND,EYE,9,3,LARGE,3.0,1,
1614,1,STAND,EYE,9,3,LARGE,3.5,1,
1615,1,STAND,EYE,9,3,LARGE,4.0,1,
1616,1,STAND,EYE,9,4,LARGE,0.5,3,
1617,1,STAND,EYE,9,4,LARGE,1.0,1,
1618,1,STAND,EYE,9,4,LARGE,1.5,2,
1619,1,STAND,EYE,9,4,LARGE,2.0,2,
1620,1,STAND,EYE,9,4,LARGE,2.5,2,
1621,1,STAND,EYE,9,4,LARGE,3.0,2,
1622,1,STAND,EYE,9,4,LARGE,3.5,2,
1623,1,STAND,EYE,9,4,LARGE,4.0,2,
1624,1,STAND,EYE,9,5,LARGE,0.5,3,
1625,1,STAND,EYE,9,5,LARGE,1.0,4,
1626,1,STAND,EYE,9,5,LARGE,1.5,1,
1627,1,STAND,EYE,9,5,LARGE,2.0,1,
1628,1,STAND,EYE,9,5,LARGE,2.5,1,
1629,1,STAND,EYE,9,5,LARGE,3.0,1,
1630,1,STAND,EYE,9,5,LARGE,3.5,1,
1631,1,STAND,EYE,9,5,LARGE,4.0,1,
1632,1,STAND,EYE,9,6,LARGE,0.5,0,
1633,1,STAND,EYE,9,6,LARGE,1.0,2,
1634,1,STAND,EYE,9,6,LARGE,1.5,1,
1635,1,STAND,EYE,9,6,LARGE,2.0,2,
1636,1,STAND,EYE,9,6,LARGE,2.5,2,
1637,1,STAND,EYE,9,6,LARGE,3.0,2,
1638,1,STAND,EYE,9,6,LARGE,3.5,2,
1639,1,STAND,EYE,9,6,LARGE,4.0,2,
1640,1,STAND,EYE,9,7,LARGE,0.5,2,
1641,1,STAND,EYE,9,7,LARGE,1.0,4,
1642,1,STAND,EYE,9,7,LARGE,1.5,1,
1643,1,STAND,EYE,9,7,LARGE,2.0,1,
1644,1,STAND,EYE,9,7,LARGE,2.5,1,
1645,1,STAND,EYE,9,7,LARGE,3.0,1,
1646,1,STAND,EYE,9,7,LARGE,3.5,1,
1647,1,STAND,EYE,9,7,LARGE,4.0,1,
1648,1,STAND,EYE,9,8,LARGE,0.5,4,
1649,1,STAND,EYE,9,8,LARGE,1.0,2,
1650,1,STAND,EYE,9,8,LARGE,1.5,4,
1651,1,STAND,EYE,9,8,LARGE,2.0,1,
1652,1,STAND,EYE,9,8,LARGE,2.5,1,
1653,1,STAND,EYE,9,8,LARGE,3.0,1,
1654,1,STAND,EYE,9,8,LARGE,3.5,1,
1655,1,STAND,EYE,9,8,LARGE,4.0,1,
1656,1,WALK,EYE,9,0,LARGE,0.5,9,
1657,1,WALK,EYE,9,0,LARGE,1.0,10,
1658,1,WALK,EYE,9,0,LARGE,1.5,10,
1659,1,WALK,EYE,9,0,LARGE,2.0,8,
1660,1,WALK,EYE,9,0,LARGE,2.5,4,
1661,1,WALK,EYE,9,0,LARGE,3.0,4,
1662,1,WALK,EYE,9,0,LARGE,3.5,2,
1663,1,WALK,EYE,9,0,LARGE,4.0,1,
1664,1,WALK,EYE,9,1,LARGE,0.5,8,
1665,1,WALK,EYE,9,1,LARGE,1.0,10,
1666,1,WALK,EYE,9,1,LARGE,1.5,13,
1667,1,WALK,EYE,9,1,LARGE,2.0,10,
1668,1,WALK,EYE,9,1,LARGE,2.5,8,
1669,1,WALK,EYE,9,1,LARGE,3.0,5,
1670,1,WALK,EYE,9,1,LARGE,3.5,5,
1671,1,WALK,EYE,9,1,LARGE,4.0,8,
1672,1,WALK,EYE,9,2,LARGE,0.5,8,
1673,1,WALK,EYE,9,2,LARGE,1.0,9,
1674,1,WALK,EYE,9,2,LARGE,1.5,9,
1675,1,WALK,EYE,9,2,LARGE,2.0,12,
1676,1,WALK,EYE,9,2,LARGE,2.5,9,
1677,1,WALK,EYE,9,2,LARGE,3.0,7,
1678,1,WALK,EYE,9,2,LARGE,3.5,5,
1679,1,WALK,EYE,9,2,LARGE,4.0,3,
1680,1,WALK,EYE,9,3,LARGE,0.5,11,
1681,1,WALK,EYE,9,3,LARGE,1.0,15,
1682,1,WALK,EYE,9,3,LARGE,1.5,8,
1683,1,WALK,EYE,9,3,LARGE,2.0,6,
1684,1,WALK,EYE,9,3,LARGE,2.5,3,
1685,1,WALK,EYE,9,3,LARGE,3.0,2,
1686,1,WALK,EYE,9,3,LARGE,3.5,3,
1687,1,WALK,EYE,9,3,LARGE,4.0,2,
1688,1,WALK,EYE,9,4,LARGE,0.5,6,
1689,1,WALK,EYE,9,4,LARGE,1.0,9,
1690,1,WALK,EYE,9,4,LARGE,1.5,10,
1691,1,WALK,EYE,9,4,LARGE,2.0,9,
1692,1,WALK,EYE,9,4,LARGE,2.5,11,
1693,1,WALK,EYE,9,4,LARGE,3.0,8,
1694,1,WALK,EYE,9,4,LARGE,3.5,7,
1695,1,WALK,EYE,9,4,LARGE,4.0,6,
1696,1,WALK,EYE,9,5,LARGE,0.5,12,
1697,1,WALK,EYE,9,5,LARGE,1.0,12,
1698,1,WALK,EYE,9,5,LARGE,1.5,11,
1699,1,WALK,EYE,9,5,LARGE,2.0,7,
1700,1,WALK,EYE,9,5,LARGE,2.5,4,
1701,1,WALK,EYE,9,5,LARGE,3.0,4,
