,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
2263,1.0,6,WALK,HAND,9,4,LARGE,2.2919602125248226,1.46677120260105,8.122219768081251,8.122219768081251,2.9846450000000004,3.0,0.617448999999965,0.2058163333333217,-0.47365232555615117,0.2461120955837129,2.5910117686392273,0.6679106217107783,0.40014899999994213,
2264,1.0,6,WALK,HAND,9,5,LARGE,2.8265294835618553,1.5517163740912219,8.876177778803333,8.876177778803333,1.7661669999999958,3.0,0.20301800000004278,0.06767266666668093,0.37736985039981824,-0.4794521856859547,2.9320505031747977,1.2095938465714458,0.18548499999997148,
2265,1.0,6,WALK,HAND,9,6,LARGE,2.95756207025,2.1410041993579028,7.534318544272425,7.534318544272425,1.948974000000021,3.0,0.5146119999999428,0.17153733333331425,-0.4176891486771092,-0.21572554990261542,3.522632516161677,0.857712987915033,0.3483889999999974,
2266,1.0,6,WALK,HAND,9,7,LARGE,10.692771827775,4.405249647082955,11.263044991736667,11.263044991736667,4.333863000000065,1.0,0.01569999999992433,0.01569999999992433,10.776809505201918,0.0584738298260985,4.539234748861095,0.3811242279316263,0.01569999999992433,
2267,1.0,6,WALK,HAND,9,8,LARGE,4.603254998324202,3.384023666549615,9.524102144976666,9.524102144976666,1.3509649999999738,7.0,0.24668500000007043,0.035240714285724346,-3.2883371318761747,0.8376473101192086,4.823340064219734,1.1349260444161722,0.06701699999996436,
2268,1.0,7,STAND,HEAD,4,0,SMALL,0.8235879046603772,0.1068411251674865,5.122576391320895,5.122576391320895,1.3489419999999654,2.0,0.7984950000001163,0.39924750000005815,0.4234072742409596,-0.6957848185184048,0.12272146173503208,0.11993432180413695,0.45090000000004693,
2269,1.0,7,STAND,HEAD,4,1,SMALL,0.5698536875438597,0.10434762070352158,4.8152118209090915,4.8152118209090915,1.0684999999999718,1.0,0.9316630000000714,0.9316630000000714,-0.29806857210916304,-0.42882625546093306,0.19253953958679235,0.16707890676977666,0.9316630000000714,
2270,1.0,7,STAND,HEAD,4,2,SMALL,0.8499235681206896,0.12710052327363947,4.14405276082653,4.14405276082653,0.6692999999999074,2.0,0.8000530000000481,0.40002650000002404,0.7712745171886661,0.2756581402102057,0.1743467730070709,0.19676121693475998,0.5654000000000678,
2271,1.0,7,STAND,HEAD,4,3,SMALL,0.6160295301666666,0.13919039731000846,5.629502859279661,5.629502859279661,1.463555999999926,1.0,0.48304400000006353,0.48304400000006353,-0.3805323754809832,-0.4810590777296859,0.1056852399650043,0.1103207557749464,0.48304400000006353,
2272,1.0,7,STAND,HEAD,4,4,SMALL,0.8062228826296296,0.30422721077897324,4.889508040713044,4.889508040713044,1.0161460000000488,1.0,0.5992539999999735,0.5992539999999735,-0.31519630172656077,0.7081000589686857,0.2075026877955316,0.31805367877985397,0.5992539999999735,
2273,1.0,7,STAND,HEAD,4,5,SMALL,,,,,,,,,,,,,,"('no success frames', 0)"
2274,1.0,7,STAND,HEAD,4,6,SMALL,0.8427932002954546,0.04470724651158208,3.892872817217617,3.892872817217617,2.481899999999996,1.0,0.7164559999999938,0.7164559999999938,-0.5951143624891052,0.5957988351830042,0.025777758197128582,0.05838935334278082,0.7164559999999938,
2275,1.0,7,STAND,HEAD,4,7,SMALL,0.7109752983898305,0.3583920493579696,5.26998004035,5.26998004035,0.6851440000000366,2.0,0.6267330000000584,0.3133665000000292,0.5166303428577668,0.1681557250374547,0.45131360283316174,0.3729572451488802,0.4630000000000791,
2276,1.0,7,STAND,HEAD,4,8,SMALL,1.07178161,0.24309690349622937,3.1891511768339766,3.1891511768339766,3.447693000000072,2.0,0.28583599999990383,0.14291799999995192,-0.4998196401836975,0.8807695022499474,0.27546848832065934,0.33519140468693126,0.23413899999991372,
2277,1.0,7,WALK,HEAD,4,0,SMALL,14.952846782982379,7.381539831050189,11.935228103544851,11.935228103544851,1.2321779999999762,1.0,0.04959100000002081,0.04959100000002081,14.391722631355991,-2.2933886078837173,7.303378853682281,2.075108871197192,0.04959100000002081,
2278,1.0,7,WALK,HEAD,4,1,SMALL,,,,,,,,,,,,,,"('no success frames', 0)"
2279,1.0,7,WALK,HEAD,4,2,SMALL,,,,,,,,,,,,,,"('no success frames', 0)"
2280,1.0,7,WALK,HEAD,4,3,SMALL,,,,,,,,,,,,,,"('no success frames', 0)"
2281,1.0,7,WALK,HEAD,4,4,SMALL,0.9748886473333332,0.4301646190400867,18.876955207455737,18.876955207455737,4.984252999999967,1.0,0.051208000000031006,0.051208000000031006,0.2728142728582929,-0.5755482421584078,0.4407570798437674,0.8043957050560435,0.051208000000031006,
2282,1.0,7,WALK,HEAD,4,5,SMALL,,,,,,,,,,,,,,"('no success frames', 0)"
2283,1.0,7,WALK,HEAD,4,6,SMALL,9.970844509104648,5.680365552399888,10.685703437495016,10.685703437495016,2.148399999999981,1.0,0.0166370000000029,0.0166370000000029,-7.478889916439376,5.301776766628415,4.1966832574277495,5.2962474881206285,0.0166370000000029,
2284,1.0,7,WALK,HEAD,4,7,SMALL,2.030973257214575,0.9716083128501518,3.648069481700997,3.648069481700997,0.8981319999999755,7.0,0.569733000000042,0.08139042857143457,0.6730649948170511,-0.08792306824901489,1.6928395258861262,1.3259474598119942,0.2341000000000122,
2285,1.0,7,WALK,HEAD,4,8,SMALL,10.756315676819048,7.080395055210006,10.09695065917608,10.09695065917608,1.5167539999999917,2.0,0.0801389999999742,0.0400694999999871,-9.83321740227915,-3.3720871075288468,6.800165878628453,2.5857511012462857,0.06329299999998739,
2286,1.0,7,STAND,HEAD,5,0,LARGE,0.9931701204827587,0.2657866198550246,6.96516096160294,6.96516096160294,1.3016420000000153,2.0,0.49971499999992375,0.24985749999996187,-0.6827623795200382,-0.6601523941165013,0.20033278027257923,0.380381975847703,0.38344899999992776,
2287,1.0,7,STAND,HEAD,5,1,LARGE,0.4672863707368421,0.2128848644161829,7.096486562175675,7.096486562175675,1.514099999999985,1.0,0.9345580000000382,0.9345580000000382,-0.1976597744707501,0.2898667832084502,0.3617836647695102,0.1320441364555729,0.9345580000000382,
2288,1.0,7,STAND,HEAD,5,2,LARGE,0.8138684502037038,0.3459525136024183,7.020271905486301,7.020271905486301,1.5281579999999622,1.0,0.5366999999999962,0.5366999999999962,0.24295845249589898,0.5217308819835749,0.5248027358464965,0.42727469923711003,0.5366999999999962,
2289,1.0,7,STAND,HEAD,5,3,LARGE,1.1725832667291665,0.6183559483499834,4.813047053567741,4.813047053567741,3.5636499999999387,3.0,0.8017610000000559,0.2672536666666853,0.2862279494784431,-0.2778911986377352,0.2268995470339422,1.2494373141277673,0.45056099999999333,
2290,1.0,7,STAND,HEAD,5,4,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2291,1.0,7,STAND,HEAD,5,5,LARGE,0.8860325116862745,0.09425656036641768,8.05641755727027,8.05641755727027,1.6144309999999678,1.0,0.717200000000048,0.717200000000048,-0.8530664958601789,0.1938977966409735,0.07243425005235239,0.24015306486489246,0.717200000000048,
