imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007764.65286,B991100,0.00970,0.04608,-0.98529,0.16412,0.0157
1596007764.6590521,B991105,0.00983,0.04614,-0.98529,0.16425,0.0157
1596007764.664845,B991110,0.00995,0.04620,-0.98529,0.16437,0.0157
1596007764.669407,B991116,0.01007,0.04639,-0.98523,0.16455,0.0157
1596007764.6740391,B991121,0.01025,0.04657,-0.98517,0.16479,0.0157
1596007764.67937,B991126,0.01038,0.04681,-0.98511,0.16498,0.0157
1596007764.6838698,B991131,0.01056,0.04706,-0.98511,0.16522,0.0157
1596007764.688902,B991136,0.01074,0.04736,-0.98499,0.16547,0.0157
1596007764.6938298,B991141,0.01093,0.04767,-0.98492,0.16577,0.0157
1596007764.699148,B991146,0.01105,0.04791,-0.98486,0.16602,0.0157
1596007764.7044532,B991151,0.01123,0.04828,-0.98480,0.16632,0.0157
1596007764.709057,B991156,0.01141,0.04865,-0.98474,0.16669,0.0157
1596007764.714155,B991161,0.01154,0.04895,-0.98468,0.16699,0.0157
1596007764.719163,B991166,0.01166,0.04932,-0.98462,0.16730,0.0157
1596007764.725664,B991171,0.01184,0.04974,-0.98450,0.16760,0.0157
1596007764.729255,B991176,0.01202,0.05023,-0.98444,0.16797,0.0157
1596007764.734699,B991182,0.01215,0.05066,-0.98437,0.16827,0.0157
1596007764.741185,B991187,0.01257,0.05170,-0.98419,0.16888,0.0157
1596007764.744726,B991192,0.01276,0.05219,-0.98413,0.16919,0.0158
1596007764.7499578,B991197,0.01300,0.05273,-0.98401,0.16949,0.0158
1596007764.7548108,B991202,0.01324,0.05328,-0.98395,0.16974,0.0157
1596007764.75998,B991207,0.01349,0.05389,-0.98389,0.16998,0.0157
1596007764.765413,B991212,0.01367,0.05450,-0.98383,0.17023,0.0158
1596007764.770061,B991217,0.01392,0.05499,-0.98370,0.17047,0.0158
1596007764.7767072,B991222,0.01416,0.05560,-0.98364,0.17065,0.0157
1596007764.7812731,B991227,0.01440,0.05615,-0.98358,0.17084,0.0158
1596007764.7852612,B991232,0.01465,0.05664,-0.98352,0.17102,0.0158
1596007764.790358,B991237,0.01483,0.05713,-0.98346,0.17114,0.0158
1596007764.7954078,B991243,0.01501,0.05756,-0.98340,0.17126,0.0158
1596007764.8017678,B991248,0.01514,0.05804,-0.98340,0.17139,0.0158
1596007764.807969,B991254,0.01526,0.05841,-0.98334,0.17151,0.0158
1596007764.812734,B991259,0.01544,0.05872,-0.98328,0.17163,0.0158
1596007764.8172731,B991264,0.01550,0.05896,-0.98328,0.17169,0.0158
1596007764.822975,B991270,0.01563,0.05914,-0.98322,0.17175,0.0158
1596007764.82833,B991275,0.01575,0.05933,-0.98322,0.17181,0.0158
1596007764.8336089,B991281,0.01581,0.05945,-0.98322,0.17181,0.0158
1596007764.839093,B991286,0.01593,0.05963,-0.98322,0.17188,0.0158
1596007764.84394,B991291,0.01605,0.05988,-0.98315,0.17188,0.0157
1596007764.849358,B991296,0.01611,0.06012,-0.98315,0.17188,0.0158
1596007764.853992,B991301,0.01624,0.06036,-0.98315,0.17188,0.0158
1596007764.8593102,B991306,0.01636,0.06067,-0.98309,0.17188,0.0158
1596007764.864896,B991311,0.01666,0.06134,-0.98309,0.17181,0.0157
1596007764.869333,B991317,0.01678,0.06165,-0.98303,0.17175,0.0158
1596007764.874666,B991322,0.01691,0.06195,-0.98303,0.17175,0.0158
1596007764.8793101,B991327,0.01703,0.06226,-0.98303,0.17169,0.0158
1596007764.885149,B991332,0.01715,0.06250,-0.98303,0.17163,0.0158
1596007764.8903208,B991337,0.01721,0.06274,-0.98303,0.17163,0.0158
1596007764.894817,B991342,0.01727,0.06299,-0.98303,0.17157,0.0158
1596007764.90127,B991347,0.01733,0.06323,-0.98297,0.17157,0.0157
1596007764.9046059,B991352,0.01740,0.06348,-0.98297,0.17151,0.0158
